0.058175,0.011144,1
-0.008464,0.011138,0
-0.007988,0.004528,0
0.010818,0.014381,0
0.072241,0.017430,1
0.051522,0.027337,1
-0.007869,0.014757,0
-0.000146,0.037098,0
-0.027556,0.020401,0
-0.007033,0.021628,0
0.078139,0.043779,1
0.000347,0.058514,0
-0.046167,0.023619,0
0.038547,0.023612,0
0.049184,0.024178,1
0.022035,0.017029,0
0.011784,0.036406,0
-0.024521,0.129517,0
-0.112560,0.220987,0
-0.001456,0.122689,0
0.042359,0.252937,1
-0.019937,0.036427,0
-0.087995,0.034467,0
-0.021182,0.027425,0
-0.003780,0.031636,0
0.008445,0.014959,0
-0.034009,0.016974,0
-0.044397,0.007309,0
0.007202,0.007464,0
-0.039085,0.012975,0
0.007962,0.030064,0
-0.070126,0.058225,0
0.064345,0.017307,1
0.040639,0.029130,1
0.045585,0.009126,1
-0.031184,0.006088,0
0.002484,0.008927,0
0.042511,0.022968,1
-0.030261,0.027654,0
0.010626,0.013592,0
0.039300,0.008792,0
0.081558,0.008222,1
0.016831,0.027441,0
-0.006071,0.013417,0
0.030147,0.014371,0
0.032106,0.011684,0
-0.087774,0.026956,0
0.009486,0.016276,0
0.019211,0.031037,0
0.035355,0.026675,0
