0.037410,0.000394
0.044794,0.000144
0.035374,0.000437
0.042562,0.000086
0.031564,0.000152
0.037599,0.000090
0.048148,0.000303
0.039414,0.000319
0.037908,0.000357
0.031234,0.000438
0.028846,0.000284
0.037573,0.000249
0.029798,0.000178
0.035117,0.000321
0.039526,0.000187
0.036066,0.000255
0.037427,0.000197
0.030303,0.000654
0.030716,0.000852
0.050048,0.001728
0.035024,0.000784
0.027430,0.001646
0.034965,0.000212
0.030567,0.001100
0.028847,0.000224
0.048746,0.000176
0.036740,0.000916
0.038727,0.000312
0.045508,0.000051
0.036569,0.000126
0.039428,0.000285
0.033259,0.000186
0.024510,0.000496
0.044775,0.000113
0.036243,0.000436
0.032515,0.000400
0.046451,0.000590
0.033871,0.000589
0.036787,0.000303
0.046411,0.000327
0.035142,0.000217
0.028685,0.000289
0.039153,0.000441
0.035778,0.000265
0.028257,0.000342
0.039216,0.000610
0.033955,0.000123
0.035578,0.000413
0.039946,0.000402
0.038046,0.000736
